"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0,-0.09139021092801,-0.124899381822064,-0.116855944935139,-0.0900608059072795,-0.108663541268345,-0.0953650785887548,-0.0925812759727963,-0.107083295860771,-0.0875134115633048,-0.110650180088527,-0.129601899113585,-0.0846571762148839,-0.085297666660672,-0.145479253561783,-0.100714278387759,-0.101765782394947,-0.12848730349483,-0.0885488495811611,-0.09121673089746,-0.0843566053332443,-0.132562815406559,-0.0869123612967492,-0.0843327683072445,-0.0969230991532149,-0.185872363106084,-0.073258092088786,-0.0848550731085397,-0.075922441976203,-0.0913233204286481,-0.0842827244998247,-0.0696437934847405,-0.0771309485905283,-0.0621734129424558,-0.0715578301934596,-0.0880918658858923,-0.105023537355403,-0.078634617859555,-0.0778832743733932,-0.0952181982943316,-0.0782051924373544,-0.0841571835594802,-0.072347310898338,-0.0790244966917919,-0.119694726857337,-0.074076497941761,-0.0910023467690708,-0.0663270057286366,-0.0897898304291535,-0.0767550254672813,-0.0952545652180233,-0.0752736483794002,-0.10786856768589,-0.0891079965720762,-0.0884406778240243,-0.0659057973755538,-0.0964482305206653,-0.0761874579008237,-0.0742674024633447,-0.098401761488359,-0.0872896966222926,-0.079104100460535,-0.0944435803988895,-0.114294406762794,-0.104165080677943,-0.122186662775577,-0.110532008371542,-0.128612777644894,-0.10849074618425,-0.110988239648898,-0.135660386494212,-0.156611011586718,-0.158315535472735,-0.114387188281864,-0.0824691434896832,-0.0768280283182472,-0.0667900582817061,-0.0706596075533587,-0.0775747988966725,-0.0763042428124985,-0.0586457416010698,-0.136388852920382,-0.0685208335586251,-0.0930301598457642,-0.130587709548204,-0.0932208449224525,-0.11247291988339,-0.0880595642975557,-0.108804588562645,-0.0910015753520212,-0.116745692224873,-0.0984306031707911,-0.156824483590968,-0.152392085290388,-0.0878880692855007,-0.127532736804038,-0.0955078336542442,-0.0947760644357768,-0.0835190225201044,-0.107537282237925
"2",-0.107403869528153,0,-0.12499586027917,-0.116727825225613,-0.0901043882140373,-0.108496515103438,-0.0953198563526464,-0.0923944669863203,-0.106916672517907,-0.087616579054517,-0.110438002934187,-0.129621358019011,-0.0845659035202975,-0.084959373220151,-0.145301874123902,-0.100864412679334,-0.101647417998227,-0.128293297629841,-0.0885190321725769,-0.090688483440116,-0.0842407341541181,-0.132499079433413,-0.0868034609207912,-0.0842020445352297,-0.0969630836304546,-0.18528667609227,-0.0732563421885777,-0.0844334026007238,-0.0758291288441144,-0.0911161085001255,-0.0840045260459102,-0.069783893065226,-0.0769553457272023,-0.0621758764738072,-0.0713594626031579,-0.0883010798811406,-0.104716221572546,-0.0785652076203441,-0.0779003095530487,-0.0949043593670678,-0.0782249465843145,-0.0838816069535353,-0.0722009809791783,-0.0788595999570075,-0.119076204533447,-0.0740711471927227,-0.0905987791697039,-0.066204285663458,-0.0897535042573605,-0.0766201654266754,-0.0949616527874611,-0.0750876885646244,-0.10775318739853,-0.0892046851466037,-0.0884146583538709,-0.0657802460960795,-0.0962153169826765,-0.0763174286790741,-0.0742793329149462,-0.0982381953605605,-0.0870875647557901,-0.0790010691988739,-0.0942727151966295,-0.113827384150368,-0.104214166069915,-0.122210386890443,-0.110219857043458,-0.128365544752431,-0.108594023816942,-0.110827550832026,-0.135329534417613,-0.156238842181998,-0.158222105146045,-0.114252680558396,-0.082240729722685,-0.0767778006698012,-0.0666492786693037,-0.0703608604550628,-0.0770696475134136,-0.076279270592942,-0.0583739073988619,-0.136157095613645,-0.0684392780991804,-0.0927953142844726,-0.130244604222546,-0.092686624259426,-0.112227160706117,-0.088072859574859,-0.108735982492477,-0.0908512950574827,-0.116370089116253,-0.0982081741778979,-0.156701282160125,-0.151827441725835,-0.0876959278575743,-0.127383752301921,-0.095451411059618,-0.0946589537396668,-0.0834086649453337,-0.107575239679486
"3",-0.107571468545798,-0.0917224697812814,0,-0.116991133875701,-0.0901932251239684,-0.108918183043738,-0.0956453896634271,-0.0929225407080317,-0.107447126441531,-0.087777333094787,-0.110800153816073,-0.130119270755004,-0.0848159967137094,-0.0854828951647065,-0.145856427584011,-0.100584654634049,-0.102066780335279,-0.128284131525874,-0.0887138123771339,-0.0912140062167391,-0.0844151508804529,-0.132730430115153,-0.0872878774068255,-0.0845398375929216,-0.0975550825497738,-0.18624342890051,-0.0734409669953706,-0.0848795959679588,-0.0761203705309075,-0.091600428406199,-0.0847078570474391,-0.0698837635611128,-0.0769150896759285,-0.0622791649048814,-0.0714515374346933,-0.0885057336275038,-0.105313921178351,-0.0787930398267556,-0.0779123650228381,-0.095139869473013,-0.0782957596927006,-0.0840875261045045,-0.072397862206465,-0.0789737324520216,-0.120162120440073,-0.0742100491834434,-0.0912381510930811,-0.0662185952780885,-0.0901749530425891,-0.0768711088135381,-0.0955548977722206,-0.0752586059929649,-0.108180099528357,-0.0896270773076289,-0.0885060373985873,-0.0659295042009384,-0.096405276201643,-0.0765582495618878,-0.0744959704354434,-0.0986667737790817,-0.0875637546846474,-0.0792114276769026,-0.0945751286913773,-0.114541287242404,-0.104647778838139,-0.122615602694068,-0.110710322583502,-0.128585234391854,-0.108779060103926,-0.111326453658837,-0.136009165910716,-0.156734799631617,-0.158765179362431,-0.11480304358917,-0.0826321387060095,-0.0769849341528713,-0.0668340846439149,-0.0706729440099597,-0.0773555362074077,-0.0764520783891345,-0.0586741112647257,-0.136781140924768,-0.0688240564508469,-0.0929747454081853,-0.130559131310561,-0.0932691403362425,-0.112567887650838,-0.0881793807526626,-0.1086513605971,-0.0913035476255769,-0.117296921304891,-0.0986687149514044,-0.157295478043226,-0.152619844590124,-0.0878769962999871,-0.128079606341594,-0.0959184515655019,-0.0949762684789767,-0.0837668536192354,-0.107859795101328
"4",-0.107573181880427,-0.0914249452039391,-0.125027265182849,0,-0.0903728763544431,-0.108535249180477,-0.0956999676708123,-0.0927521755041272,-0.107057077791709,-0.0878636300035592,-0.110596721847272,-0.130308025102079,-0.0847353817179938,-0.0855066816795667,-0.145709478565559,-0.100626650701739,-0.10151123217061,-0.128394440582775,-0.0886920274249128,-0.0912983037918644,-0.0846413055687892,-0.132532802004716,-0.0872365877700801,-0.0845615918425626,-0.0974231443956856,-0.185386715202728,-0.0729579827812564,-0.0845176373834262,-0.0761024042841028,-0.091255957562344,-0.0843577649061214,-0.0698362125923258,-0.076931142975163,-0.0623606139131483,-0.0715388299223469,-0.0887156203732628,-0.104950101827922,-0.0785425021981382,-0.0778249282572618,-0.0948436273879721,-0.0782653500553546,-0.0840549720987607,-0.0723424139818409,-0.0790266628532915,-0.119929559525603,-0.0740799468569178,-0.090886029733124,-0.0663155373505658,-0.0898240538552046,-0.0766832412244925,-0.0951713601459665,-0.0753221237572737,-0.107846937193566,-0.0890263425674015,-0.0888177800081715,-0.0662366652503236,-0.0964282516156766,-0.076381478025333,-0.0745064422759729,-0.0984734102581769,-0.0877014344513867,-0.0793274786917945,-0.0947952591410046,-0.114612138685853,-0.104167497268562,-0.122591273598588,-0.11040920518753,-0.128195404069925,-0.10890628007137,-0.111218379441702,-0.135675593452582,-0.156585774259657,-0.158732669391656,-0.114446349240945,-0.0822891905632551,-0.0768073008971703,-0.0670623696222151,-0.0707586209949844,-0.0774787211296869,-0.0765486369483096,-0.0582595978133873,-0.137037728417735,-0.0686485673700182,-0.0933058600277504,-0.131100557291571,-0.093449874173505,-0.112325017899666,-0.0881475448984721,-0.108847156561221,-0.0909829019806911,-0.117161986425572,-0.0985033402408784,-0.157423941164847,-0.152609447923122,-0.0878677962108748,-0.127782277730166,-0.0958629291831523,-0.0948295096278739,-0.0834769832108995,-0.107797936861898
"5",-0.107396725145503,-0.0914246483259353,-0.12484407155474,-0.116932491639915,0,-0.108410229941743,-0.0954955653948203,-0.0927594626986081,-0.106929732692057,-0.0875399685197108,-0.110372604152383,-0.129256697230161,-0.0844509846080167,-0.085125429251432,-0.145183154464975,-0.100661287103937,-0.101727556743919,-0.128071615158503,-0.0885188665890358,-0.0907873165294175,-0.0842019929864668,-0.132230447922661,-0.0867896594190475,-0.0841676107757782,-0.0970189831772858,-0.185334867029193,-0.0732416765056737,-0.0842809809003175,-0.0758158732549011,-0.091165384037693,-0.0839583610832346,-0.0697176592921561,-0.0768674155036225,-0.0620812917303042,-0.0714791052932543,-0.0882157736235652,-0.104825032460161,-0.0787250455514214,-0.0778204639189578,-0.0950440641743249,-0.0781107426264638,-0.0838426840210898,-0.0721480398920657,-0.0785961627643426,-0.119251339025909,-0.0741085822085961,-0.0908311098074576,-0.0662665724077238,-0.0898680470321404,-0.0766017388813401,-0.095280659490781,-0.0749578042269632,-0.108086672063577,-0.0891453527024803,-0.0882869579947012,-0.0657799357026577,-0.0960618955178177,-0.0763228908848423,-0.0742546613238283,-0.0982829489246801,-0.0872966164312769,-0.0790262436730138,-0.0942405495408532,-0.11374887295321,-0.104118943327576,-0.121984768559602,-0.110257080683761,-0.128123116303234,-0.108522866578595,-0.110800007141371,-0.135418365596095,-0.156180215114804,-0.158163533044529,-0.114418736768449,-0.0824484981155559,-0.0767751083327177,-0.066728473293872,-0.0704526409555122,-0.077215306124439,-0.0762689153312318,-0.0586194247517996,-0.136219128955583,-0.0684748863135289,-0.0926416954112484,-0.129821978115145,-0.0929709478151655,-0.112447450458283,-0.0878861131758519,-0.108591283686336,-0.0908170656399258,-0.116281896194789,-0.0981453763783315,-0.156691840146647,-0.152007235848034,-0.0874905537548535,-0.127384021637742,-0.0953988958080593,-0.0946689814782829,-0.083364098859319,-0.107368168475546
"6",-0.10772636516224,-0.091572784381703,-0.125250935714251,-0.116877655942262,-0.0901502144519596,0,-0.0955476021659915,-0.0929635177031502,-0.10700816726837,-0.0878182455917267,-0.110735335462998,-0.129897800524427,-0.0847489169669207,-0.0852361336737333,-0.145759727832408,-0.100926925218016,-0.101892103035138,-0.128294825489053,-0.0887340480680916,-0.0910088238596176,-0.0842504585894541,-0.132735356944623,-0.0871133054987271,-0.0842579569616422,-0.0971877851363508,-0.185695858773016,-0.0733401629786931,-0.0844131452964675,-0.0758469271947151,-0.0911933295558012,-0.0841538583669385,-0.0697056325791307,-0.0769700126197183,-0.0619937770003117,-0.0713339732014302,-0.0883826455162479,-0.104651220023009,-0.0787613842591688,-0.0777590399152248,-0.0950796438657037,-0.0781386854517648,-0.0839388040200965,-0.0720800707871862,-0.0786472327544925,-0.11964406083305,-0.0740832856248095,-0.0908130419753798,-0.0662110518966782,-0.0900240156951507,-0.0766678135600577,-0.0954457733958148,-0.0749313412976821,-0.108583444991925,-0.0896227154767796,-0.0882985272267606,-0.0658121307037385,-0.0961067813245657,-0.0764394987868136,-0.0741901547886363,-0.0985591505929357,-0.0873773708524857,-0.0791229080199975,-0.0945901892294299,-0.11417403249456,-0.104361956864714,-0.122150978834191,-0.110276556518401,-0.128504053674357,-0.108820239156316,-0.110918643695002,-0.135957898368828,-0.156479534411281,-0.158466590498439,-0.114710456275442,-0.0825002854241899,-0.076761499392758,-0.0665543700112204,-0.0703148943906454,-0.0773568795286114,-0.0760329430158859,-0.0586747977932614,-0.136508382373276,-0.0686426008384095,-0.0928667393376785,-0.130452197907552,-0.0932043415693541,-0.11245046941867,-0.0878960807631314,-0.108783415843739,-0.0909998753303885,-0.11675187145091,-0.0981073198444883,-0.156956072602911,-0.152235447811569,-0.0875661115116284,-0.127649943700662,-0.095462379801383,-0.0948166184412631,-0.083489568003346,-0.107768979598294
"7",-0.107331713418893,-0.0912574826802049,-0.124906172550424,-0.116906112069959,-0.090121291259297,-0.10843203929408,0,-0.0925421596177425,-0.10688761098282,-0.087638820307049,-0.11059134822774,-0.129610114916768,-0.0845943117136969,-0.0851525778453273,-0.145481367178799,-0.100746922669973,-0.101720352905168,-0.128254750412186,-0.0886021566452808,-0.0907489213131963,-0.0843047813087003,-0.13238806044237,-0.0868944426447562,-0.0841814621393407,-0.0970692268580803,-0.185293839607646,-0.0732264425873823,-0.0845714115484198,-0.0758497988458275,-0.0910173551742405,-0.0842423628760625,-0.0697066010820791,-0.0770955325678837,-0.0621165501779502,-0.0714773694145085,-0.0884159367049498,-0.104873393788699,-0.0785780960291135,-0.0780441641914491,-0.0949248885551829,-0.0782133362719623,-0.083898571063111,-0.0721591200215091,-0.0790113758050225,-0.119318099551651,-0.0740600040525086,-0.090772255658993,-0.06615810200614,-0.089766390184567,-0.0765632701798286,-0.0954937818904937,-0.0750367270995781,-0.107958259851597,-0.0890567632344056,-0.0883139220620656,-0.0658429658261748,-0.0961573679579,-0.0763537726743914,-0.0743034442015209,-0.0983851200734077,-0.0872604555364181,-0.0789503519753469,-0.0942861820150824,-0.113858383526524,-0.104171656878058,-0.122009671207934,-0.110158857452667,-0.128181772684886,-0.108615578883604,-0.110702301751476,-0.135411944774803,-0.156371124233918,-0.158176596432881,-0.114479232963928,-0.0824275272882314,-0.0767255275806315,-0.0666548437220903,-0.0703481267802568,-0.0771106173008265,-0.0763707113804439,-0.0585185911353264,-0.13614046170655,-0.0686642542986159,-0.0929891127206948,-0.129987483334314,-0.0931562715355506,-0.112524384034256,-0.0879195282871336,-0.108702039031149,-0.0907973340268183,-0.116614021195038,-0.0981373377481245,-0.156722928506316,-0.151792393893069,-0.0876091884709651,-0.127375988918512,-0.0954629701388795,-0.094711417178609,-0.0835644835075593,-0.10762667151687
"8",-0.107348256766467,-0.0911347009798797,-0.124958693941302,-0.116784334746346,-0.0901861015692783,-0.108613637183003,-0.095345812927412,0,-0.106878736042011,-0.0876238011888342,-0.110546708783222,-0.129811830561341,-0.0844513172018011,-0.0850424384361354,-0.145481780966316,-0.100683341750933,-0.101561075683008,-0.128559355571182,-0.0885477083422123,-0.0906914350582476,-0.0843527924932105,-0.132439999557233,-0.086856504308317,-0.0842127346495827,-0.0970222103460668,-0.185290720825126,-0.0732822889256429,-0.0843784832952744,-0.0758988805378779,-0.0912868430790518,-0.0841938066638458,-0.0696724287124142,-0.0770549083496996,-0.062035810870832,-0.0715478600778064,-0.0885360929554555,-0.105029761603647,-0.0787432518337096,-0.0780803734749555,-0.0951448231414598,-0.0782048734838789,-0.0838678924696642,-0.0722748686771913,-0.0786235508303506,-0.11937629139045,-0.0742959370225714,-0.0909361412520141,-0.0661671553738459,-0.0896910619247872,-0.0765118345691892,-0.0950838444581184,-0.0750008140935965,-0.107799967352819,-0.0889747014239081,-0.0879134027035892,-0.065724582687436,-0.0959761093673246,-0.0760628696170505,-0.0741884124012661,-0.0982177492535801,-0.0870535354857151,-0.0787425339403115,-0.0942190399574941,-0.113964480426325,-0.104421450783934,-0.122109672357255,-0.110173052997664,-0.127911171936555,-0.108284997690991,-0.110624228642588,-0.135596403619545,-0.155966641817481,-0.15832668540897,-0.114454420868256,-0.0824533296388735,-0.0768680634719363,-0.0667050753282536,-0.0704241620773237,-0.0770652167641059,-0.0763082857686311,-0.0586601438753036,-0.136211129023897,-0.0684666627186979,-0.0927765795217839,-0.12988359109735,-0.0928644627297612,-0.112340203406209,-0.0879397342928945,-0.108739821476237,-0.090636494035096,-0.116649831780705,-0.0981084123905655,-0.156802333338992,-0.151810303758448,-0.0873260161465154,-0.127158106588302,-0.0955434871176853,-0.0948147826916355,-0.0834299716829861,-0.10767875361316
"9",-0.107689475978521,-0.0915318415627387,-0.125309663462415,-0.116938606870596,-0.0902286730824995,-0.108552802772672,-0.0955493692457543,-0.0927416442899072,0,-0.0878760311352118,-0.110726822300534,-0.129731666368761,-0.0848100193224735,-0.0850355542287953,-0.145947286165105,-0.101242561344357,-0.102095207955361,-0.128499601285685,-0.0886213688035292,-0.0909565452965386,-0.0843734898909317,-0.132617830483431,-0.086725728755055,-0.0845273997048749,-0.0972007349367099,-0.185883229749597,-0.0733358452793783,-0.0845155069407488,-0.0753185460237352,-0.0913963426794391,-0.0844196501519081,-0.0697783157526261,-0.0771441819097573,-0.0621910223391812,-0.0716023502360405,-0.0884461293714222,-0.104884631570703,-0.0786904733122238,-0.0781794170249058,-0.0951347819746076,-0.0780078244368023,-0.0841199214643662,-0.0723816012409247,-0.0788132535631358,-0.119023535357178,-0.0739767461018897,-0.090712388662114,-0.0663615602009836,-0.0899656022177907,-0.07670812020976,-0.0954274512391291,-0.0750148205449624,-0.108237318980897,-0.089040437835575,-0.0882500861077087,-0.0661544155796207,-0.0959648079625706,-0.076375116598451,-0.074505201628659,-0.0985573589884447,-0.0874373673671381,-0.0791482517267258,-0.0942651143333578,-0.114060710524454,-0.104187223289885,-0.122445337600546,-0.110374497803372,-0.128298660155531,-0.10887459211863,-0.110992420196335,-0.135636430428836,-0.156262582278829,-0.158295929564861,-0.114504598019818,-0.0824079844815529,-0.0768967990459545,-0.0666278789870855,-0.0701884863472702,-0.0770919533137828,-0.0762609323176892,-0.0584550431876439,-0.136538388204337,-0.0687947095007451,-0.0928307328618576,-0.13047917855336,-0.0929085066862257,-0.112522711589662,-0.0880404902443275,-0.1084175659793,-0.0910729947070818,-0.116442939172901,-0.0982641220610402,-0.156934904208374,-0.152332409575311,-0.0875487164443357,-0.127393397765676,-0.0954157928466271,-0.0949256264366626,-0.0836139872161775,-0.107390809514704
"10",-0.107340837081279,-0.0914144192311056,-0.124884314396567,-0.116902561007666,-0.0900196553776413,-0.108525425619664,-0.0954901881677855,-0.0926768694355367,-0.107027798558212,0,-0.110350772640868,-0.129376524535389,-0.0845875588285636,-0.0848696517136655,-0.145203565758907,-0.100386353989845,-0.101332025348688,-0.127920957082436,-0.0884016269831927,-0.0906876349778455,-0.0841926977393565,-0.132312766224901,-0.0868772571697693,-0.0843593684971945,-0.0969298962118236,-0.185259008268173,-0.0733686677446279,-0.0844918713259485,-0.0758828586951638,-0.0912705155780353,-0.0841878594528039,-0.0696411857935065,-0.0770195166935329,-0.0619218192472097,-0.0714494173206629,-0.0885058140123246,-0.105046166919198,-0.0786514467973335,-0.0778790436322909,-0.0950616813617118,-0.0780972932882722,-0.0837433833462144,-0.0721107936633751,-0.0785877923671206,-0.119220821548995,-0.0742242235257945,-0.0910394209084175,-0.0661912889968357,-0.0897068353042524,-0.0765542955972568,-0.0953445728465723,-0.0751225072939343,-0.107866193477821,-0.0889277628276916,-0.0881133309938896,-0.0657969452214306,-0.0959740178459123,-0.076265508680627,-0.0741832518529007,-0.0982141700795295,-0.0872213025668334,-0.0786708340689317,-0.0941393500793105,-0.113957531435298,-0.104072394769845,-0.122251730339927,-0.110285715553839,-0.128038207955351,-0.108211891744441,-0.110716596135162,-0.135568868476622,-0.156139445364669,-0.157884192743529,-0.114356316197973,-0.0823896180256444,-0.0767265434603361,-0.0668304534172454,-0.0704416883376991,-0.0772777096689049,-0.0762339580543655,-0.0585436709474476,-0.135941713797069,-0.068433408467667,-0.0926045366995179,-0.129744033908725,-0.0929362228729054,-0.112522555687463,-0.0878578886851154,-0.108486911365228,-0.0906458124445361,-0.116392488795091,-0.0980999560249567,-0.156670742605937,-0.151853961263913,-0.087457535214704,-0.127201610167367,-0.0953344570826099,-0.0947178940165201,-0.0835772524768085,-0.107578168089064
